,YEAR,MONTH,DAY,HOUR,CNT
0,2020,8,7,8,66
30,2020,8,7,9,47
46,2020,8,7,10,72
75,2020,8,7,11,30
85,2020,8,7,12,37
96,2020,8,7,13,7
98,2020,8,7,14,25
106,2020,8,7,15,36
118,2020,8,7,16,45
132,2020,8,7,17,6
371,2020,8,10,8,99
416,2020,8,10,9,61
440,2020,8,10,10,81
467,2020,8,10,11,32
479,2020,8,10,12,60
493,2020,8,10,13,44
505,2020,8,10,14,63
522,2020,8,10,15,53
540,2020,8,10,16,53
733,2020,8,10,17,3
920,2020,8,11,8,91
962,2020,8,11,9,74
988,2020,8,11,10,107
1021,2020,8,11,11,108
1046,2020,8,11,12,32
1054,2020,8,11,13,46
1068,2020,8,11,14,20
1074,2020,8,11,15,46
1091,2020,8,11,16,34
1478,2020,8,12,8,58
1501,2020,8,12,9,77
1530,2020,8,12,10,83
1556,2020,8,12,11,64
1582,2020,8,12,12,57
1599,2020,8,12,13,31
1610,2020,8,12,14,36
1623,2020,8,12,15,30
1632,2020,8,12,16,36
1950,2020,8,13,8,60
1976,2020,8,13,9,142
2034,2020,8,13,10,69
2060,2020,8,13,11,63
2084,2020,8,13,12,47
2102,2020,8,13,13,36
2114,2020,8,13,14,40
2127,2020,8,13,15,57
2145,2020,8,13,16,38
2313,2020,8,13,18,6
2508,2020,8,14,8,85
2535,2020,8,14,9,73
2564,2020,8,14,10,42
2581,2020,8,14,11,51
2600,2020,8,14,12,23
2606,2020,8,14,13,19
2613,2020,8,14,14,47
2625,2020,8,14,15,42
2637,2020,8,14,16,33
2647,2020,8,14,17,4
2927,2020,8,18,8,117
2977,2020,8,18,9,96
3010,2020,8,18,10,68
3030,2020,8,18,11,101
3055,2020,8,18,12,63
3071,2020,8,18,13,26
3078,2020,8,18,14,44
3094,2020,8,18,15,22
3102,2020,8,18,16,10
3106,2020,8,18,17,8
3482,2020,8,19,8,76
3514,2020,8,19,9,63
3537,2020,8,19,10,75
3565,2020,8,19,11,106
3600,2020,8,19,12,38
3610,2020,8,19,13,37
3626,2020,8,19,14,32
3636,2020,8,19,15,24
3646,2020,8,19,16,20
3652,2020,8,19,20,96
4024,2020,8,19,17,1
4050,2020,8,20,8,94
4093,2020,8,20,9,57
4114,2020,8,20,10,85
4145,2020,8,20,11,87
4169,2020,8,20,12,38
4179,2020,8,20,13,10
4183,2020,8,20,14,43
4200,2020,8,20,15,41
4210,2020,8,20,16,56
4561,2020,8,21,8,122
4607,2020,8,21,9,87
4633,2020,8,21,10,54
4656,2020,8,21,11,39
4669,2020,8,21,12,29
4681,2020,8,21,13,26
4687,2020,8,21,14,33
4697,2020,8,21,15,44
4712,2020,8,21,16,29
5024,2020,8,24,8,77
5059,2020,8,24,9,158
5113,2020,8,24,10,102
5148,2020,8,24,11,81
5188,2020,8,24,12,34
5196,2020,8,24,13,34
5204,2020,8,24,14,45
5217,2020,8,24,15,67
5238,2020,8,24,16,12
5323,2020,8,24,17,4
5638,2020,8,25,8,95
5676,2020,8,25,9,82
5702,2020,8,25,10,65
5719,2020,8,25,11,87
5752,2020,8,25,12,55
5767,2020,8,25,13,22
5778,2020,8,25,14,33
5788,2020,8,25,15,50
5803,2020,8,25,16,35
6162,2020,8,26,8,55
6187,2020,8,26,9,25
6195,2020,8,26,10,7
6198,2020,8,26,11,50
6220,2020,8,26,12,62
6237,2020,8,26,13,23
6247,2020,8,26,14,49
6267,2020,8,26,15,63
6289,2020,8,26,16,33
6299,2020,8,26,17,6
6535,2020,8,27,8,108
6582,2020,8,27,9,74
6610,2020,8,27,10,61
6634,2020,8,27,11,43
6652,2020,8,27,12,31
6663,2020,8,27,13,20
6669,2020,8,27,14,63
6688,2020,8,27,15,40
6699,2020,8,27,16,26
6707,2020,8,27,17,6
7007,2020,8,28,8,77
7041,2020,8,28,9,62
7065,2020,8,28,10,54
7086,2020,8,28,11,32
7097,2020,8,28,12,31
7106,2020,8,28,13,18
7112,2020,8,28,14,20
7120,2020,8,28,15,19
7126,2020,8,28,16,34
7354,2020,8,31,8,96
7389,2020,8,31,9,129
7451,2020,8,31,10,109
7490,2020,8,31,11,72
7515,2020,8,31,12,30
7524,2020,8,31,13,18
7532,2020,8,31,14,43
7548,2020,8,31,15,81
7572,2020,8,31,16,69
7589,2020,8,31,17,13
8014,2020,9,1,8,106
8052,2020,9,1,9,55
8068,2020,9,1,10,114
8107,2020,9,1,11,104
8138,2020,9,1,12,39
8150,2020,9,1,13,23
8159,2020,9,1,14,38
8175,2020,9,1,15,46
8191,2020,9,1,16,32
8202,2020,9,1,17,2
8573,2020,9,2,8,88
8607,2020,9,2,9,50
8621,2020,9,2,10,70
8643,2020,9,2,11,46
8662,2020,9,2,12,38
8675,2020,9,2,13,25
8685,2020,9,2,14,27
8695,2020,9,2,15,26
8702,2020,9,2,16,39
8982,2020,9,3,8,117
9029,2020,9,3,9,68
9048,2020,9,3,10,72
9076,2020,9,3,11,58
9094,2020,9,3,12,22
9103,2020,9,3,13,30
9113,2020,9,3,14,58
9133,2020,9,3,15,41
9144,2020,9,3,16,20
9338,2020,9,3,17,1
9469,2020,9,4,8,73
9498,2020,9,4,9,65
9524,2020,9,4,10,80
9557,2020,9,4,11,25
9567,2020,9,4,12,9
9571,2020,9,4,13,20
9580,2020,9,4,14,16
9588,2020,9,4,15,11
9591,2020,9,4,17,1
9769,2020,9,7,8,137
9818,2020,9,7,10,30
9827,2020,9,7,11,55
9839,2020,9,7,12,53
9858,2020,9,7,13,24
9867,2020,9,7,14,65
9894,2020,9,7,15,52
9909,2020,9,7,16,50
9924,2020,9,7,17,4
9977,2020,9,7,9,1
10240,2020,9,8,8,105
10291,2020,9,8,9,75
10323,2020,9,8,10,88
10352,2020,9,8,11,71
10377,2020,9,8,12,43
10393,2020,9,8,13,15
10397,2020,9,8,14,37
10409,2020,9,8,15,44
10420,2020,9,8,16,53
10433,2020,9,8,17,11
10782,2020,9,9,8,76
10815,2020,9,9,9,92
10851,2020,9,9,10,84
10881,2020,9,9,11,87
10913,2020,9,9,12,54
10930,2020,9,9,13,16
10933,2020,9,9,14,83
10963,2020,9,9,15,36
10973,2020,9,9,16,49
10989,2020,9,9,17,9
11368,2020,9,10,8,92
11411,2020,9,10,9,110
11453,2020,9,10,10,63
11473,2020,9,10,11,80
11501,2020,9,10,12,64
11520,2020,9,10,13,11
11523,2020,9,10,14,42
11537,2020,9,10,15,59
11558,2020,9,10,16,41
11569,2020,9,10,17,1
11931,2020,9,11,8,89
11972,2020,9,11,9,73
12004,2020,9,11,10,62
12027,2020,9,11,11,67
12046,2020,9,11,12,46
12062,2020,9,11,13,17
12068,2020,9,11,14,23
12075,2020,9,11,15,11
12079,2020,9,11,16,56
12375,2020,9,14,8,199
12453,2020,9,14,9,84
12484,2020,9,14,10,83
12513,2020,9,14,11,71
12534,2020,9,14,12,36
12549,2020,9,14,13,24
12561,2020,9,14,14,82
12588,2020,9,14,15,56
12604,2020,9,14,16,32
13042,2020,9,15,8,120
13085,2020,9,15,9,52
13101,2020,9,15,10,66
13127,2020,9,15,11,50
13147,2020,9,15,12,50
13166,2020,9,15,13,18
13171,2020,9,15,14,50
13187,2020,9,15,15,38
13194,2020,9,15,16,22
13508,2020,9,16,8,101
13551,2020,9,16,9,37
13565,2020,9,16,10,70
13590,2020,9,16,11,89
13620,2020,9,16,12,44
13633,2020,9,16,13,19
13640,2020,9,16,14,27
13648,2020,9,16,15,39
13659,2020,9,16,16,18
13666,2020,9,16,18,2
13701,2020,9,16,17,1
13955,2020,9,17,8,116
14004,2020,9,17,9,93
14043,2020,9,17,10,71
14072,2020,9,17,11,55
14084,2020,9,17,12,70
14112,2020,9,17,13,13
14119,2020,9,17,14,39
14129,2020,9,17,15,35
14141,2020,9,17,16,25
14290,2020,9,17,17,6
14478,2020,9,18,8,98
14514,2020,9,18,9,53
14532,2020,9,18,10,71
14561,2020,9,18,11,30
14570,2020,9,18,12,72
14588,2020,9,18,13,16
14593,2020,9,18,14,54
14611,2020,9,18,15,51
14625,2020,9,18,16,25
14631,2020,9,18,17,9
14957,2020,9,21,8,184
15040,2020,9,21,9,101
15080,2020,9,21,10,75
15109,2020,9,21,11,49
15125,2020,9,21,13,21
15131,2020,9,21,14,50
15146,2020,9,21,15,48
15158,2020,9,21,16,51
15174,2020,9,21,17,3
15189,2020,9,21,12,2
15541,2020,9,22,8,123
15584,2020,9,22,9,63
15609,2020,9,22,10,73
15632,2020,9,22,11,76
15655,2020,9,22,12,87
15686,2020,9,22,13,35
15697,2020,9,22,14,42
15710,2020,9,22,15,31
15717,2020,9,22,16,10
16081,2020,9,23,8,97
16122,2020,9,23,9,36
16135,2020,9,23,10,62
16153,2020,9,23,11,57
16172,2020,9,23,12,37
16183,2020,9,23,13,32
16194,2020,9,23,14,23
16202,2020,9,23,15,20
16210,2020,9,23,16,35
16480,2020,9,24,8,113
16534,2020,9,24,9,73
16560,2020,9,24,10,106
16593,2020,9,24,11,62
16613,2020,9,24,12,52
16622,2020,9,24,13,19
16629,2020,9,24,14,47
16643,2020,9,24,15,49
16653,2020,9,24,16,9
16657,2020,9,24,17,27
16733,2020,9,24,20,92
16846,2020,9,24,18,30
17159,2020,9,25,8,118
17203,2020,9,25,9,46
17224,2020,9,25,10,81
17251,2020,9,25,11,43
17263,2020,9,25,12,22
17270,2020,9,25,13,15
17276,2020,9,25,14,40
17286,2020,9,25,15,18
17292,2020,9,25,16,37
17445,2020,9,25,17,1
17580,2020,9,28,8,207
17659,2020,9,28,9,115
17700,2020,9,28,10,81
17724,2020,9,28,11,85
17762,2020,9,28,12,31
17773,2020,9,28,13,34
17785,2020,9,28,14,51
17800,2020,9,28,15,57
17813,2020,9,28,16,39
17826,2020,9,28,17,2
18282,2020,9,29,7,1
18283,2020,9,29,8,98
18325,2020,9,29,9,82
18357,2020,9,29,10,85
18389,2020,9,29,11,74
18418,2020,9,29,12,40
18430,2020,9,29,13,23
18439,2020,9,29,14,25
18447,2020,9,29,15,39
18457,2020,9,29,16,27
18466,2020,9,29,17,9
18785,2020,10,5,8,147
18830,2020,10,5,10,63
18853,2020,10,5,11,45
18867,2020,10,5,12,31
18879,2020,10,5,13,81
18908,2020,10,5,14,49
18923,2020,10,5,15,63
18948,2020,10,5,16,7
18950,2020,10,5,17,15
19286,2020,10,6,8,121
19334,2020,10,6,9,121
19382,2020,10,6,10,73
19402,2020,10,6,11,109
19440,2020,10,6,12,53
19455,2020,10,6,13,66
19478,2020,10,6,14,27
19485,2020,10,6,15,37
19495,2020,10,6,16,32
19505,2020,10,6,17,9
19934,2020,10,7,8,109
19979,2020,10,7,9,75
20006,2020,10,7,10,70
20031,2020,10,7,11,52
20048,2020,10,7,12,60
20071,2020,10,7,13,33
20084,2020,10,7,14,39
20098,2020,10,7,15,27
20108,2020,10,7,16,46
20121,2020,10,7,17,7
20452,2020,10,8,8,156
20523,2020,10,8,9,62
20544,2020,10,8,10,59
20565,2020,10,8,11,83
20587,2020,10,8,12,49
20603,2020,10,8,13,15
20607,2020,10,8,14,20
20615,2020,10,8,15,34
20627,2020,10,8,16,36
20641,2020,10,8,17,3
20969,2020,10,12,8,183
21039,2020,10,12,9,193
21122,2020,10,12,10,97
21155,2020,10,12,11,65
21181,2020,10,12,12,65
21206,2020,10,12,13,36
21220,2020,10,12,14,33
21234,2020,10,12,15,44
21244,2020,10,12,16,67
21262,2020,10,12,17,13
21765,2020,10,13,8,108
21809,2020,10,13,9,99
21850,2020,10,13,10,81
21876,2020,10,13,11,97
21906,2020,10,13,12,70
21928,2020,10,13,13,25
21938,2020,10,13,14,31
21948,2020,10,13,15,47
21960,2020,10,13,16,35
21970,2020,10,13,17,7
22365,2020,10,14,8,97
22398,2020,10,14,9,57
22421,2020,10,14,10,64
22443,2020,10,14,11,72
22470,2020,10,14,12,66
22492,2020,10,14,13,25
22500,2020,10,14,14,56
22517,2020,10,14,15,52
22535,2020,10,14,16,30
22547,2020,10,14,17,10
22894,2020,10,15,8,149
22958,2020,10,15,9,110
23006,2020,10,15,10,61
23035,2020,10,15,11,64
23057,2020,10,15,12,40
23072,2020,10,15,13,33
23084,2020,10,15,14,42
23096,2020,10,15,15,43
23111,2020,10,15,16,19
23118,2020,10,15,17,11
23466,2020,10,16,8,112
23515,2020,10,16,9,59
23546,2020,10,16,10,72
23578,2020,10,16,11,69
23600,2020,10,16,12,50
23617,2020,10,16,13,28
23626,2020,10,16,14,30
23636,2020,10,16,15,39
23648,2020,10,16,16,44
23661,2020,10,16,17,4
23973,2020,10,19,8,236
24072,2020,10,19,9,90
24111,2020,10,19,10,84
24145,2020,10,19,11,68
24171,2020,10,19,12,61
24192,2020,10,19,13,40
24210,2020,10,19,14,36
24222,2020,10,19,15,76
24247,2020,10,19,16,61
24264,2020,10,19,17,3
24728,2020,10,20,8,44
24745,2020,10,20,9,110
24787,2020,10,20,10,86
24820,2020,10,20,11,99
24855,2020,10,20,12,59
24872,2020,10,20,13,18
24878,2020,10,20,14,55
24895,2020,10,20,15,39
24909,2020,10,20,16,26
25264,2020,10,21,8,78
25301,2020,10,21,9,73
25331,2020,10,21,10,82
25356,2020,10,21,11,53
25374,2020,10,21,12,35
25389,2020,10,21,13,25
25398,2020,10,21,14,64
25418,2020,10,21,15,23
25424,2020,10,21,16,12
25709,2020,10,22,8,127
25763,2020,10,22,9,182
25839,2020,10,22,10,67
25867,2020,10,22,11,88
25890,2020,10,22,12,34
25903,2020,10,22,13,36
25917,2020,10,22,14,28
25924,2020,10,22,15,35
25936,2020,10,22,16,39
25946,2020,10,22,17,5
26350,2020,10,23,8,86
26384,2020,10,23,9,66
26406,2020,10,23,10,63
26426,2020,10,23,11,59
26445,2020,10,23,12,41
26454,2020,10,23,13,17
26460,2020,10,23,14,30
26471,2020,10,23,15,27
26475,2020,10,23,16,63
26802,2020,10,26,8,184
26870,2020,10,26,9,133
26918,2020,10,26,10,68
26943,2020,10,26,11,39
26958,2020,10,26,12,28
26969,2020,10,26,13,13
26976,2020,10,26,14,48
26992,2020,10,26,15,59
27008,2020,10,26,16,38
27021,2020,10,26,17,20
27432,2020,10,27,8,161
27495,2020,10,27,9,90
27531,2020,10,27,10,101
27568,2020,10,27,11,73
27591,2020,10,27,12,47
27607,2020,10,27,13,30
27615,2020,10,27,14,30
27628,2020,10,27,15,56
27645,2020,10,27,16,23
28043,2020,10,28,8,89
28077,2020,10,28,9,70
28106,2020,10,28,10,83
28139,2020,10,28,11,84
28169,2020,10,28,12,53
28184,2020,10,28,13,18
28192,2020,10,28,14,29
28202,2020,10,28,15,60
28219,2020,10,28,16,33
28562,2020,10,29,8,148
28625,2020,10,29,9,83
28656,2020,10,29,10,108
28689,2020,10,29,11,91
28716,2020,10,29,12,36
28728,2020,10,29,13,19
28735,2020,10,29,14,33
28749,2020,10,29,15,29
28757,2020,10,29,16,20
29129,2020,10,30,8,114
29174,2020,10,30,9,72
29203,2020,10,30,10,58
29223,2020,10,30,11,30
29237,2020,10,30,12,19
29243,2020,10,30,13,12
29247,2020,10,30,14,9
29251,2020,10,30,15,14
29255,2020,10,30,16,19
29300,2020,10,30,17,3
29479,2020,11,2,8,202
29561,2020,11,2,9,180
29638,2020,11,2,10,88
29675,2020,11,2,11,68
29700,2020,11,2,12,63
29725,2020,11,2,13,72
29753,2020,11,2,14,52
29771,2020,11,2,15,77
29797,2020,11,2,16,44
30325,2020,11,3,8,153
30391,2020,11,3,9,110
30434,2020,11,3,10,70
30455,2020,11,3,11,77
30479,2020,11,3,12,85
30510,2020,11,3,13,39
30522,2020,11,3,14,39
30534,2020,11,3,15,40
30544,2020,11,3,16,23
30961,2020,11,4,8,100
31008,2020,11,4,9,89
31041,2020,11,4,10,49
31059,2020,11,4,11,62
31077,2020,11,4,12,65
31100,2020,11,4,13,29
31110,2020,11,4,14,32
31120,2020,11,4,15,45
31136,2020,11,4,16,36
31149,2020,11,4,17,13
31481,2020,11,5,8,134
31540,2020,11,5,9,111
31590,2020,11,5,10,85
31617,2020,11,5,11,92
31641,2020,11,5,12,19
31648,2020,11,5,13,10
31651,2020,11,5,14,36
31662,2020,11,5,15,50
31675,2020,11,5,16,24
32042,2020,11,6,8,101
32096,2020,11,6,9,46
32116,2020,11,6,10,67
32145,2020,11,6,11,44
32162,2020,11,6,12,24
32168,2020,11,6,13,20
32176,2020,11,6,14,47
32190,2020,11,6,15,28
32200,2020,11,6,16,26
32445,2020,11,9,8,200
32518,2020,11,9,9,121
32566,2020,11,9,10,72
32594,2020,11,9,11,40
32607,2020,11,9,12,41
32625,2020,11,9,13,26
32637,2020,11,9,14,41
32652,2020,11,9,15,53
32671,2020,11,9,16,60
32685,2020,11,9,17,25
33124,2020,11,10,8,92
33163,2020,11,10,9,101
33202,2020,11,10,10,106
33234,2020,11,10,11,73
33259,2020,11,10,12,48
33273,2020,11,10,13,32
33285,2020,11,10,14,46
33299,2020,11,10,15,59
33312,2020,11,10,16,30
33321,2020,11,10,17,6
33717,2020,11,11,8,150
33772,2020,11,11,9,65
33801,2020,11,11,10,51
33820,2020,11,11,11,89
33851,2020,11,11,12,39
33864,2020,11,11,13,38
33881,2020,11,11,14,47
33896,2020,11,11,15,47
33910,2020,11,11,16,51
33923,2020,11,11,17,2
34296,2020,11,12,8,117
34349,2020,11,12,9,120
34399,2020,11,12,10,80
34428,2020,11,12,11,96
34458,2020,11,12,12,35
34472,2020,11,12,13,9
34476,2020,11,12,14,31
34486,2020,11,12,15,66
34506,2020,11,12,16,40
34519,2020,11,12,17,4
34894,2020,11,13,8,136
34951,2020,11,13,9,90
34988,2020,11,13,10,87
35017,2020,11,13,11,60
35038,2020,11,13,12,33
35050,2020,11,13,13,18
35058,2020,11,13,14,34
35067,2020,11,13,15,31
35075,2020,11,13,16,30
35082,2020,11,13,17,3
35416,2020,11,16,8,189
35500,2020,11,16,9,140
35553,2020,11,16,10,85
35584,2020,11,16,11,52
35610,2020,11,16,12,37
35625,2020,11,16,13,37
35638,2020,11,16,14,52
35655,2020,11,16,15,61
35672,2020,11,16,16,44
35689,2020,11,16,17,11
36124,2020,11,17,8,104
36169,2020,11,17,9,100
36210,2020,11,17,10,87
36240,2020,11,17,11,87
36270,2020,11,17,12,52
36288,2020,11,17,13,18
36292,2020,11,17,14,27
36299,2020,11,17,15,20
36305,2020,11,17,16,31
36315,2020,11,17,17,5
36655,2020,11,18,8,83
36683,2020,11,18,9,82
36715,2020,11,18,10,83
36748,2020,11,18,11,107
36781,2020,11,18,12,14
36787,2020,11,18,13,31
36801,2020,11,18,14,44
36815,2020,11,18,15,40
36825,2020,11,18,16,41
37180,2020,11,19,8,125
37230,2020,11,19,9,101
37278,2020,11,19,10,64
37302,2020,11,19,11,66
37328,2020,11,19,12,23
37338,2020,11,19,13,30
37350,2020,11,19,14,45
37364,2020,11,19,15,36
37375,2020,11,19,16,38
37708,2020,11,20,8,114
37759,2020,11,20,9,80
37799,2020,11,20,10,85
37832,2020,11,20,11,58
37853,2020,11,20,12,46
37873,2020,11,20,13,24
37881,2020,11,20,14,27
37888,2020,11,20,15,49
37903,2020,11,20,16,54
37919,2020,11,20,17,6
38251,2020,11,23,8,155
38327,2020,11,23,9,110
38371,2020,11,23,10,82
38398,2020,11,23,11,30
38412,2020,11,23,12,37
38423,2020,11,23,13,34
38436,2020,11,23,14,78
38457,2020,11,23,15,81
38486,2020,11,23,16,65
38504,2020,11,23,17,14
38937,2020,11,24,8,110
38985,2020,11,24,9,101
39022,2020,11,24,10,69
39044,2020,11,24,11,69
39065,2020,11,24,12,28
39077,2020,11,24,13,31
39088,2020,11,24,14,36
39099,2020,11,24,15,49
39116,2020,11,24,16,16
39120,2020,11,24,17,6
39452,2020,11,25,8,113
39498,2020,11,25,9,59
39520,2020,11,25,10,61
39538,2020,11,25,11,71
39564,2020,11,25,12,39
39580,2020,11,25,13,32
39594,2020,11,25,14,36
39608,2020,11,25,15,24
39616,2020,11,25,16,50
39637,2020,11,25,17,4
39941,2020,11,26,8,164
40019,2020,11,26,9,81
40058,2020,11,26,10,103
40097,2020,11,26,11,70
40120,2020,11,26,12,38
40133,2020,11,26,13,25
40141,2020,11,26,14,16
40148,2020,11,26,15,25
40158,2020,11,26,16,37
40170,2020,11,26,17,8
40508,2020,11,27,8,78
40545,2020,11,27,9,73
40574,2020,11,27,10,43
40587,2020,11,27,11,28
40598,2020,11,27,12,12
40601,2020,11,27,13,16
40605,2020,11,27,14,28
40614,2020,11,27,15,49
40625,2020,11,27,16,13
40848,2020,11,30,8,175
40925,2020,11,30,9,139
40984,2020,11,30,10,56
41006,2020,11,30,11,58
41029,2020,11,30,12,42
41047,2020,11,30,13,38
41062,2020,11,30,14,48
41080,2020,11,30,15,115
41118,2020,11,30,16,24
41128,2020,11,30,17,4
41547,2020,12,1,8,61
41578,2020,12,1,9,187
41657,2020,12,1,10,87
41689,2020,12,1,11,85
41720,2020,12,1,12,47
41733,2020,12,1,13,23
41743,2020,12,1,14,36
41756,2020,12,1,15,21
41763,2020,12,1,16,23
41773,2020,12,1,17,13
42130,2020,12,2,8,91
42164,2020,12,2,9,134
42213,2020,12,2,10,84
42242,2020,12,2,11,58
42266,2020,12,2,12,63
42285,2020,12,2,13,47
42306,2020,12,2,14,33
42318,2020,12,2,15,40
42332,2020,12,2,16,32
42342,2020,12,2,17,5
42717,2020,12,3,8,171
42797,2020,12,3,9,126
42854,2020,12,3,10,96
42887,2020,12,3,11,47
42902,2020,12,3,12,68
42926,2020,12,3,13,16
42932,2020,12,3,14,55
42951,2020,12,3,15,42
42965,2020,12,3,16,25
42972,2020,12,3,17,12
43375,2020,12,4,8,113
43424,2020,12,4,9,82
43461,2020,12,4,10,74
43488,2020,12,4,11,54
43507,2020,12,4,12,22
43514,2020,12,4,13,8
43516,2020,12,4,14,34
43527,2020,12,4,15,35
43541,2020,12,4,16,20
43817,2020,12,7,8,168
43898,2020,12,7,9,156
43956,2020,12,7,10,99
43992,2020,12,7,11,94
44023,2020,12,7,12,10
44027,2020,12,7,13,35
44041,2020,12,7,14,36
44056,2020,12,7,15,77
44082,2020,12,7,16,46
44099,2020,12,7,17,6
44544,2020,12,8,8,101
44586,2020,12,8,9,89
44619,2020,12,8,10,71
44649,2020,12,8,11,66
44676,2020,12,8,12,55
44693,2020,12,8,13,22
44700,2020,12,8,14,52
44717,2020,12,8,15,55
44737,2020,12,8,16,22
45077,2020,12,9,8,152
45139,2020,12,9,9,93
45177,2020,12,9,10,94
45210,2020,12,9,11,50
45227,2020,12,9,12,58
45249,2020,12,9,13,43
45267,2020,12,9,14,61
45287,2020,12,9,15,28
45299,2020,12,9,16,33
45311,2020,12,9,17,7
45696,2020,12,10,8,149
45748,2020,12,10,9,53
45770,2020,12,10,10,112
45805,2020,12,10,11,43
45822,2020,12,10,12,49
45840,2020,12,10,13,21
45847,2020,12,10,14,39
45861,2020,12,10,15,46
45875,2020,12,10,16,18
45881,2020,12,10,17,3
46229,2020,12,11,8,154
46296,2020,12,11,9,72
46327,2020,12,11,10,60
46349,2020,12,11,11,61
46373,2020,12,11,12,41
46388,2020,12,11,13,31
46400,2020,12,11,14,19
46409,2020,12,11,15,29
46417,2020,12,11,16,18
46714,2020,12,14,8,182
46794,2020,12,14,9,133
46855,2020,12,14,10,70
46886,2020,12,14,11,75
46914,2020,12,14,12,39
46928,2020,12,14,13,30
46942,2020,12,14,14,60
46965,2020,12,14,15,46
46977,2020,12,14,16,56
46994,2020,12,14,17,5
47410,2020,12,15,8,149
47471,2020,12,15,9,77
47508,2020,12,15,10,68
47535,2020,12,15,11,64
47557,2020,12,15,12,91
47579,2020,12,15,13,36
47589,2020,12,15,14,41
47603,2020,12,15,15,49
47619,2020,12,15,16,21
48006,2020,12,16,8,90
48039,2020,12,16,9,88
48076,2020,12,16,10,102
48115,2020,12,16,11,69
48144,2020,12,16,12,74
48172,2020,12,16,13,33
48187,2020,12,16,14,37
48201,2020,12,16,15,22
48209,2020,12,16,16,30
48367,2020,12,16,17,2
48553,2020,12,17,8,166
48632,2020,12,17,9,81
48665,2020,12,17,10,75
48689,2020,12,17,11,73
48713,2020,12,17,12,35
48723,2020,12,17,13,38
48736,2020,12,17,14,33
48747,2020,12,17,15,40
48758,2020,12,17,16,42
48771,2020,12,17,17,2
49138,2020,12,18,8,92
49180,2020,12,18,9,75
49212,2020,12,18,10,67
49238,2020,12,18,11,70
49265,2020,12,18,12,31
49280,2020,12,18,13,32
49290,2020,12,18,14,18
49298,2020,12,18,15,39
49309,2020,12,18,16,28
49590,2020,12,21,8,127
49643,2020,12,21,9,153
49700,2020,12,21,10,107
49735,2020,12,21,11,65
49763,2020,12,21,12,41
49778,2020,12,21,13,32
49794,2020,12,21,14,74
49824,2020,12,21,15,59
49838,2020,12,21,16,59
49853,2020,12,21,17,2
50309,2020,12,22,8,113
50359,2020,12,22,9,112
50406,2020,12,22,10,83
50434,2020,12,22,11,66
50456,2020,12,22,12,64
50480,2020,12,22,13,38
50492,2020,12,22,14,25
50502,2020,12,22,15,47
50516,2020,12,22,16,50
50907,2020,12,23,8,111
50944,2020,12,23,9,67
50972,2020,12,23,10,88
50998,2020,12,23,11,83
51023,2020,12,23,12,72
51046,2020,12,23,13,18
51056,2020,12,23,14,22
51065,2020,12,23,15,32
51079,2020,12,23,16,28
51428,2020,12,24,8,127
51484,2020,12,24,9,66
51506,2020,12,24,10,44
51524,2020,12,24,11,51
51545,2020,12,24,12,29
51555,2020,12,24,13,22
51563,2020,12,24,14,34
51575,2020,12,24,15,36
51588,2020,12,24,16,22
51595,2020,12,24,17,4
51863,2020,12,28,8,145
51920,2020,12,28,9,29
51930,2020,12,28,10,79
51957,2020,12,28,11,54
51978,2020,12,28,12,26
51989,2020,12,28,13,51
52014,2020,12,28,14,42
52028,2020,12,28,15,61
52048,2020,12,28,16,21
52371,2020,12,29,8,153
52436,2020,12,29,9,79
52468,2020,12,29,10,128
52507,2020,12,29,11,107
